result;epochs;subset;metric;model;dataset;augmentation
0.28688524590163933;2;valid;acc;AlexNet;Ramas224Descrete;true
0.26229508196721313;3;valid;acc;AlexNet;Ramas224Descrete;true
0.29918032786885246;4;valid;acc;AlexNet;Ramas224Descrete;true
0.3012295081967213;5;valid;acc;AlexNet;Ramas224Descrete;true
0.305327868852459;6;valid;acc;AlexNet;Ramas224Descrete;true
0.3094262295081967;7;valid;acc;AlexNet;Ramas224Descrete;true
0.3012295081967213;8;valid;acc;AlexNet;Ramas224Descrete;true
0.319672131147541;9;valid;acc;AlexNet;Ramas224Descrete;true
0.3237704918032787;10;valid;acc;AlexNet;Ramas224Descrete;true
0.28688524590163933;11;valid;acc;AlexNet;Ramas224Descrete;true
0.3176229508196721;12;valid;acc;AlexNet;Ramas224Descrete;true
0.33811475409836067;13;valid;acc;AlexNet;Ramas224Descrete;true
0.3135245901639344;14;valid;acc;AlexNet;Ramas224Descrete;true
0.3432377049180328;15;valid;acc;AlexNet;Ramas224Descrete;true
0.319672131147541;16;valid;acc;AlexNet;Ramas224Descrete;true
0.33709016393442626;17;valid;acc;AlexNet;Ramas224Descrete;true
0.35348360655737704;18;valid;acc;AlexNet;Ramas224Descrete;true
0.3555327868852459;19;valid;acc;AlexNet;Ramas224Descrete;true
0.33401639344262296;20;valid;acc;AlexNet;Ramas224Descrete;true
0.3483606557377049;21;valid;acc;AlexNet;Ramas224Descrete;true
0.3411885245901639;22;valid;acc;AlexNet;Ramas224Descrete;true
0.36065573770491804;23;valid;acc;AlexNet;Ramas224Descrete;true
0.3442622950819672;24;valid;acc;AlexNet;Ramas224Descrete;true
0.3862704918032787;25;valid;acc;AlexNet;Ramas224Descrete;true
0.36270491803278687;26;valid;acc;AlexNet;Ramas224Descrete;true
0.38729508196721313;27;valid;acc;AlexNet;Ramas224Descrete;true
0.38831967213114754;28;valid;acc;AlexNet;Ramas224Descrete;true
0.38934426229508196;29;valid;acc;AlexNet;Ramas224Descrete;true
0.3944672131147541;30;valid;acc;AlexNet;Ramas224Descrete;true
0.38422131147540983;31;valid;acc;AlexNet;Ramas224Descrete;true
0.39344262295081966;32;valid;acc;AlexNet;Ramas224Descrete;true
0.39139344262295084;33;valid;acc;AlexNet;Ramas224Descrete;true
0.4108606557377049;34;valid;acc;AlexNet;Ramas224Descrete;true
0.39651639344262296;35;valid;acc;AlexNet;Ramas224Descrete;true
0.4180327868852459;36;valid;acc;AlexNet;Ramas224Descrete;true
0.41598360655737704;37;valid;acc;AlexNet;Ramas224Descrete;true
1.9600826705314758;1;train;loss;AlexNet;Ramas224Descrete;true
1.8997790331965163;2;train;loss;AlexNet;Ramas224Descrete;true
1.8205534672504935;3;train;loss;AlexNet;Ramas224Descrete;true
1.7855143169450003;4;train;loss;AlexNet;Ramas224Descrete;true
1.7609049280993698;5;train;loss;AlexNet;Ramas224Descrete;true
1.7485578497637853;6;train;loss;AlexNet;Ramas224Descrete;true
1.7321485286489748;7;train;loss;AlexNet;Ramas224Descrete;true
1.7136016846436344;8;train;loss;AlexNet;Ramas224Descrete;true
1.7159079939569954;9;train;loss;AlexNet;Ramas224Descrete;true
1.6948107911769332;10;train;loss;AlexNet;Ramas224Descrete;true
1.6936360903729664;11;train;loss;AlexNet;Ramas224Descrete;true
1.7069457033730238;12;train;loss;AlexNet;Ramas224Descrete;true
1.684376780953791;13;train;loss;AlexNet;Ramas224Descrete;true
1.666681948348475;14;train;loss;AlexNet;Ramas224Descrete;true
1.6689709577115606;15;train;loss;AlexNet;Ramas224Descrete;true
1.6549845794602458;16;train;loss;AlexNet;Ramas224Descrete;true
1.6428221101213394;17;train;loss;AlexNet;Ramas224Descrete;true
1.6480574946352178;18;train;loss;AlexNet;Ramas224Descrete;true
1.6375030254718892;19;train;loss;AlexNet;Ramas224Descrete;true
1.632290177501696;20;train;loss;AlexNet;Ramas224Descrete;true
1.6112990545529944;21;train;loss;AlexNet;Ramas224Descrete;true
1.6031008011741188;22;train;loss;AlexNet;Ramas224Descrete;true
1.577140522088716;23;train;loss;AlexNet;Ramas224Descrete;true
1.5782242917452391;24;train;loss;AlexNet;Ramas224Descrete;true
1.5728384239865474;25;train;loss;AlexNet;Ramas224Descrete;true
1.5536690836744635;26;train;loss;AlexNet;Ramas224Descrete;true
1.5327667358409192;27;train;loss;AlexNet;Ramas224Descrete;true
1.5193611451260924;28;train;loss;AlexNet;Ramas224Descrete;true
1.5189949969399714;29;train;loss;AlexNet;Ramas224Descrete;true
1.495905663831487;30;train;loss;AlexNet;Ramas224Descrete;true
1.486511746838666;31;train;loss;AlexNet;Ramas224Descrete;true
1.4769840075504101;32;train;loss;AlexNet;Ramas224Descrete;true
1.449301367842314;33;train;loss;AlexNet;Ramas224Descrete;true
1.424952613763599;34;train;loss;AlexNet;Ramas224Descrete;true
1.4192868517582873;35;train;loss;AlexNet;Ramas224Descrete;true
1.386576244673443;36;train;loss;AlexNet;Ramas224Descrete;true
1.3729292165310427;37;train;loss;AlexNet;Ramas224Descrete;true
1.9107356032387155;1;valid;loss;AlexNet;Ramas224Descrete;true
1.7788824526990046;2;valid;loss;AlexNet;Ramas224Descrete;true
1.8542956289697865;3;valid;loss;AlexNet;Ramas224Descrete;true
1.7316208217964797;4;valid;loss;AlexNet;Ramas224Descrete;true
1.7264550943843653;5;valid;loss;AlexNet;Ramas224Descrete;true
1.7133149631687852;6;valid;loss;AlexNet;Ramas224Descrete;true
1.699141713439441;7;valid;loss;AlexNet;Ramas224Descrete;true
1.693222854958206;8;valid;loss;AlexNet;Ramas224Descrete;true
1.683457190873193;9;valid;loss;AlexNet;Ramas224Descrete;true
1.695208653074796;10;valid;loss;AlexNet;Ramas224Descrete;true
1.707161268249887;11;valid;loss;AlexNet;Ramas224Descrete;true
1.6722018151986795;12;valid;loss;AlexNet;Ramas224Descrete;true
1.6562322085020973;13;valid;loss;AlexNet;Ramas224Descrete;true
1.6616303510353214;14;valid;loss;AlexNet;Ramas224Descrete;true
1.6427702219759832;15;valid;loss;AlexNet;Ramas224Descrete;true
1.65547076991347;16;valid;loss;AlexNet;Ramas224Descrete;true
1.6559929398239637;17;valid;loss;AlexNet;Ramas224Descrete;true
1.6496233471104356;18;valid;loss;AlexNet;Ramas224Descrete;true
1.646023271513767;19;valid;loss;AlexNet;Ramas224Descrete;true
1.6423701008812326;20;valid;loss;AlexNet;Ramas224Descrete;true
1.6420155665913567;21;valid;loss;AlexNet;Ramas224Descrete;true
1.640241286793693;22;valid;loss;AlexNet;Ramas224Descrete;true
1.6378543455092633;23;valid;loss;AlexNet;Ramas224Descrete;true
1.6495832497956322;24;valid;loss;AlexNet;Ramas224Descrete;true
1.6108914535553729;25;valid;loss;AlexNet;Ramas224Descrete;true
1.622916657416547;26;valid;loss;AlexNet;Ramas224Descrete;true
1.6136432866581152;27;valid;loss;AlexNet;Ramas224Descrete;true
1.6043351790944085;28;valid;loss;AlexNet;Ramas224Descrete;true
1.6182755075517248;29;valid;loss;AlexNet;Ramas224Descrete;true
1.6021067490343188;30;valid;loss;AlexNet;Ramas224Descrete;true
1.589944567836699;31;valid;loss;AlexNet;Ramas224Descrete;true
1.587541148310802;32;valid;loss;AlexNet;Ramas224Descrete;true
1.5644215833945352;33;valid;loss;AlexNet;Ramas224Descrete;true
1.587651936734309;34;valid;loss;AlexNet;Ramas224Descrete;true
1.6145457830585417;35;valid;loss;AlexNet;Ramas224Descrete;true
1.624901415871792;36;valid;loss;AlexNet;Ramas224Descrete;true
1.561812912831541;37;valid;loss;AlexNet;Ramas224Descrete;true
0.787288569964121;1;train;acc;AlexNet;Ramas224Binary;true
0.8298308559712968;2;train;acc;AlexNet;Ramas224Binary;true
0.8298308559712968;3;train;acc;AlexNet;Ramas224Binary;true
0.8298308559712968;4;train;acc;AlexNet;Ramas224Binary;true
0.8298308559712968;5;train;acc;AlexNet;Ramas224Binary;true
0.8298308559712968;6;train;acc;AlexNet;Ramas224Binary;true
0.8298308559712968;7;train;acc;AlexNet;Ramas224Binary;true
0.8298308559712968;8;train;acc;AlexNet;Ramas224Binary;true
0.8300871348026653;9;train;acc;AlexNet;Ramas224Binary;true
0.8305996924654023;10;train;acc;AlexNet;Ramas224Binary;true
0.8321373654536135;11;train;acc;AlexNet;Ramas224Binary;true
0.8336750384418247;12;train;acc;AlexNet;Ramas224Binary;true
0.8370066632496156;13;train;acc;AlexNet;Ramas224Binary;true
0.8416196822142491;14;train;acc;AlexNet;Ramas224Binary;true
0.8436699128651973;15;train;acc;AlexNet;Ramas224Binary;true
0.8393131727319323;16;train;acc;AlexNet;Ramas224Binary;true
0.8418759610456177;17;train;acc;AlexNet;Ramas224Binary;true
0.8459764223475141;18;train;acc;AlexNet;Ramas224Binary;true
0.8480266529984624;19;train;acc;AlexNet;Ramas224Binary;true
0.8441824705279344;20;train;acc;AlexNet;Ramas224Binary;true
0.84495130702204;21;train;acc;AlexNet;Ramas224Binary;true
0.8472578165043567;22;train;acc;AlexNet;Ramas224Binary;true
0.8485392106611994;23;train;acc;AlexNet;Ramas224Binary;true
0.854177344951307;24;train;acc;AlexNet;Ramas224Binary;true
0.8299180327868853;1;valid;acc;AlexNet;Ramas224Binary;true
0.8299180327868853;2;valid;acc;AlexNet;Ramas224Binary;true
0.8299180327868853;3;valid;acc;AlexNet;Ramas224Binary;true
0.8299180327868853;4;valid;acc;AlexNet;Ramas224Binary;true
0.8299180327868853;5;valid;acc;AlexNet;Ramas224Binary;true
0.8299180327868853;6;valid;acc;AlexNet;Ramas224Binary;true
0.8299180327868853;7;valid;acc;AlexNet;Ramas224Binary;true
0.8299180327868853;8;valid;acc;AlexNet;Ramas224Binary;true
0.8299180327868853;9;valid;acc;AlexNet;Ramas224Binary;true
0.8319672131147541;10;valid;acc;AlexNet;Ramas224Binary;true
0.8350409836065574;11;valid;acc;AlexNet;Ramas224Binary;true
0.8524590163934426;12;valid;acc;AlexNet;Ramas224Binary;true
0.8545081967213115;13;valid;acc;AlexNet;Ramas224Binary;true
0.8422131147540983;14;valid;acc;AlexNet;Ramas224Binary;true
0.8391393442622951;15;valid;acc;AlexNet;Ramas224Binary;true
0.8627049180327869;16;valid;acc;AlexNet;Ramas224Binary;true
0.8555327868852459;17;valid;acc;AlexNet;Ramas224Binary;true
0.8370901639344263;18;valid;acc;AlexNet;Ramas224Binary;true
0.860655737704918;19;valid;acc;AlexNet;Ramas224Binary;true
0.8473360655737705;20;valid;acc;AlexNet;Ramas224Binary;true
0.8094262295081968;21;valid;acc;AlexNet;Ramas224Binary;true
0.8565573770491803;22;valid;acc;AlexNet;Ramas224Binary;true
0.8524590163934426;23;valid;acc;AlexNet;Ramas224Binary;true
0.8586065573770492;24;valid;acc;AlexNet;Ramas224Binary;true
0.5056065270407025;1;train;loss;AlexNet;Ramas224Binary;true
0.4649958828056488;2;train;loss;AlexNet;Ramas224Binary;true
0.45547212827578376;3;train;loss;AlexNet;Ramas224Binary;true
0.44327725678575397;4;train;loss;AlexNet;Ramas224Binary;true
0.43378318330680693;5;train;loss;AlexNet;Ramas224Binary;true
0.4266455642141971;6;train;loss;AlexNet;Ramas224Binary;true
0.418981119829957;7;train;loss;AlexNet;Ramas224Binary;true
0.41091081513801275;8;train;loss;AlexNet;Ramas224Binary;true
0.40582933348304245;9;train;loss;AlexNet;Ramas224Binary;true
0.40087094789954225;10;train;loss;AlexNet;Ramas224Binary;true
0.3938211036043128;11;train;loss;AlexNet;Ramas224Binary;true
0.39124460308323267;12;train;loss;AlexNet;Ramas224Binary;true
0.3879441226799631;13;train;loss;AlexNet;Ramas224Binary;true
0.3810537870513177;14;train;loss;AlexNet;Ramas224Binary;true
0.3790683125698035;15;train;loss;AlexNet;Ramas224Binary;true
0.3830090533886611;16;train;loss;AlexNet;Ramas224Binary;true
0.3769788790488475;17;train;loss;AlexNet;Ramas224Binary;true
0.37400073439325815;18;train;loss;AlexNet;Ramas224Binary;true
0.36559165117528;19;train;loss;AlexNet;Ramas224Binary;true
0.3711737303749712;20;train;loss;AlexNet;Ramas224Binary;true
0.3651952421524658;21;train;loss;AlexNet;Ramas224Binary;true
0.36366977212308066;22;train;loss;AlexNet;Ramas224Binary;true
0.3582288730089509;23;train;loss;AlexNet;Ramas224Binary;true
0.35709602887174646;24;train;loss;AlexNet;Ramas224Binary;true
0.4718279540538788;1;valid;loss;AlexNet;Ramas224Binary;true
0.45913020704613355;2;valid;loss;AlexNet;Ramas224Binary;true
0.46349224887910434;3;valid;loss;AlexNet;Ramas224Binary;true
0.4376816822857153;4;valid;loss;AlexNet;Ramas224Binary;true
0.438780776789931;5;valid;loss;AlexNet;Ramas224Binary;true
0.427520854551284;6;valid;loss;AlexNet;Ramas224Binary;true
0.42007046693661176;7;valid;loss;AlexNet;Ramas224Binary;true
0.4130557086624083;8;valid;loss;AlexNet;Ramas224Binary;true
0.4110328799388448;9;valid;loss;AlexNet;Ramas224Binary;true
0.4057373155335911;10;valid;loss;AlexNet;Ramas224Binary;true
0.40173805785960837;11;valid;loss;AlexNet;Ramas224Binary;true
0.39708086701690176;12;valid;loss;AlexNet;Ramas224Binary;true
0.40034451005888766;13;valid;loss;AlexNet;Ramas224Binary;true
0.4014308638260013;14;valid;loss;AlexNet;Ramas224Binary;true
0.39977170209415624;15;valid;loss;AlexNet;Ramas224Binary;true
0.3919438578066279;16;valid;loss;AlexNet;Ramas224Binary;true
0.3864056526637468;17;valid;loss;AlexNet;Ramas224Binary;true
0.3997753555657434;18;valid;loss;AlexNet;Ramas224Binary;true
0.39956604750429997;19;valid;loss;AlexNet;Ramas224Binary;true
0.38441594946579855;20;valid;loss;AlexNet;Ramas224Binary;true
0.4148399429243119;21;valid;loss;AlexNet;Ramas224Binary;true
0.38136732529421324;22;valid;loss;AlexNet;Ramas224Binary;true
0.37589923329040653;23;valid;loss;AlexNet;Ramas224Binary;true
0.37546099258250876;24;valid;loss;AlexNet;Ramas224Binary;true
